	nTconv_1	mTconv_1	nTreg_1	eTreg_1	nTconv_2	mTconv_2	nTreg_2	eTreg_2	nTconv_3	mTconv_3	nTreg_3	eTreg_3
A1BG	30.8536431683328	26.5128520434148	23.1262832866453	30.5297066343675	43.2623969562207	27.6920287507328	54.1913021188368	42.5087808038747	28.7191462615897	37.7630973637079	18.9474462996594	43.4056058501843
A1CF	0.21936245696525	0.283808877938921	0.23759663500969	0.511684323707607	0.613167736220348	0.271935118461441	0.983691323666055	0	0.121853967927265	0.376308484597118	0.252056845526144	0.434918953475417
A2M	0	2.30488631330679	0	0	0.248100666158111	0	0.254661472237225	0	0	0	0	0.266744709206931
A2ML1	4.69893534124786	4.29941325252186	6.85611752537419	10.6444037627927	10.9784587707868	12.1466089622434	18.4473703100798	16.2252677820326	5.25973361146249	12.3960023407059	6.46968724571752	13.217077357082
A3GALT2	1.07607364096561	0	3.52159842979502	1.46235108097011	1.61876797557021	2.70504013681652	4.99171413888361	3.60543484248657	0	1.36187644271553	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0.581697897807651	0	0	0	0	0	0	0	0	0
AAAS	201.580070007147	95.7758316619899	110.357756406451	86.918033800689	148.227706073866	113.167228131479	194.497036308654	146.582340493814	153.065736373223	153.437244640684	112.028339276097	129.581539146577
AACS	63.6060659801924	33.9277598549732	35.613753951686	26.2353898677915	48.9250323412356	31.9638050892165	62.538089894405	32.206830599922	43.2672350335454	46.1155064467881	29.3680507711844	23.7394243361619
AADAC	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0.219581547886481	0.215738720982928	0.487621313302074	0.270649027386436	0	0.834904629744223	0.587671441029319	0	0	0	0
AADACL3	0	0	0	0.257901869516566	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	3.1146681367551	0	0	2.78560985531629	0.733251068961442	0	1.88288504117317	3.47549904184875	1.74265382331084	0.614859890440225	2.31318637880492	2.04867123828087
AAGAB	117.30605480917	136.228719554001	120.30662452657	154.132382968533	96.3648609715266	114.319817904124	201.922504730914	149.666941949337	81.2435999438788	162.355388074737	135.480876349357	179.723011491175
AAK1	515.126013387137	548.489988697553	589.462072968489	523.087130030049	940.95109099155	632.537018451838	1359.65842594717	878.245117064664	715.584014816544	916.588874785903	657.269099552684	848.841176800009
AAMDC	268.015612281732	221.399471484401	149.51853941684	174.507267598052	356.314321732147	297.723677013849	428.834989367424	342.745310805738	209.039930476914	420.247734916469	271.662018463659	281.966148629487
AAMP	200.363639495846	134.981882511374	126.709795034526	119.188342304621	186.52584002275	150.919847853226	235.129289225852	184.267374353396	120.335607289012	184.494929883733	104.47738364889	169.797399169095
AANAT	3.46504410490467	0	1.22352170227064	0.592112185575256	0.653833782974858	0.615685982360815	3.70468494421869	1.45151406978536	1.32942903348569	4.4329210643779	4.21181297235035	0
AAR2	201.35599715503	184.64954878446	165.616726666733	146.643691230724	127.175049944827	139.80642427246	226.847617787338	147.722620208934	138.900633239033	282.769135246571	127.153252109919	204.392710399322
AARD	5.39591896142548	6.28885698253102	12.1514357491957	8.85830634244424	14.5348831603498	9.55936816073563	29.1039956775994	26.9747519820019	7.90195313417869	15.0799066125774	10.0346561577648	19.6289199419299
AARS1	138.955211600079	48.5714820251867	86.7615723497814	38.2618740161348	106.009600490162	64.6077168844689	153.486940560496	52.6128758319993	94.9296158259839	76.7284790541193	62.163081414728	50.6374210780193
AARS2	61.382385217913	35.5878967121982	41.6016906654601	27.1790006787233	68.6131863258899	37.4628777270185	97.1056863422065	55.9566664156299	54.3159668712302	76.3717917949157	46.0667375948257	47.4013686758591
AARSD1	327.985937179829	130.320285148844	193.939290745422	124.216485761505	286.842262659927	178.044527172939	328.909092013501	210.823220759304	270.264454610315	254.831303905815	197.751056632936	217.952206950507
AASDH	41.8013500025396	40.2995080537183	56.8248290586858	49.0147474439148	51.326630303411	41.8513609544142	76.3959599232943	52.9092996325812	47.5516788742479	60.6805041391136	70.0921785113287	55.3281401345087
AASDHPPT	125.91537953285	134.653001057387	186.551537712133	130.567615019431	126.884574502332	147.108008254657	241.045526667679	166.981392591737	141.019944444795	222.83537093325	212.860151410373	204.464581970961
AASS	20.1541548008439	23.8621438814917	29.3283831763304	12.3810681992349	36.0729644627783	43.286070807313	67.6113997014583	33.1282314203112	35.9476963807754	39.3614827072726	65.8727119703523	37.6080645904537
AATF	420.705471496929	336.944863667535	457.694744966745	446.195670412507	309.209249541631	267.452289882533	531.487657955996	434.114738824899	345.567542752784	585.693156320586	500.50552903666	383.103937629559
AATK	0.943576032678623	4.62630941879419	0.398379900066449	1.21619533547412	1.73262603721818	1.43726449678046	2.23923252150594	1.50359474949531	0.937965216147093	6.17333298100655	1.34954180032586	1.59074291514722
